drug_name	ATC_3
digitalis antitoxin	V03A
tixocortol	R01A
gestrinone	G03X
phenylephrine	R01A
cetylpyridinium	D08A
isometheptene	A03A
nomegestrol	G03D
inosine	D06B
ferric (59Fe) citrate	V09X
semaglutide	A10B
pindolol	C07A
diethyltoluamide	P03B
bifonazole	D01A
rosuvastatin	C10B
fenofibrate	C10B
bepridil	C08E
rivaroxaban	B01A
somapacitan	H01A
cangrelor	B01A
moperone	N05A
ceftezole	J01D
angiotensin II	C01C
fencamfamin	N06B
indometacin	M01A
famciclovir	J05A
magnesium pyridoxal 5-phosphate glutamate	C10A
tiabendazole	P02C
calcium chloride	G04B
succinimide	G04B
gadoversetamide	V08C
phenylbutazone	M02A
idarubicin	L01D
metronidazole	P01A
diloxanide	P01A
prednisone	H02A
oxyphencyclimine	A03C
psycholeptics	A03C
sulfatolamide	G01A
technetium (99mTc) furifosmin	V09G
lonafarnib	A16A
remikiren	C09X
bumadizone	M01A
formoterol	R03A
deferoxamine	V03A
taliglucerase alfa	A16A
edetates	V03A
tetracaine	S01H
streptozocin	L01A
carbazochrome	B02B
testosterone	G03B
Penicillins with extended spectrum combinations	J01C
dimenhydrinate	R06A
edrophonium	V04C
gatifloxacin	S01A
febuxostat	M04A
tolonidine	C02A
tasosartan	C09C
rubella with mumps attenuated	J07B
ropivacaine	N01B
labetalol	C07A
creosote	R05C
piroxicam	M02A
ramipril	C09B
hydrochlorothiazide	C09B
dantron	A06A
olodaterol	R03A
sertaconazole	G01A
dinoprost	G02A
tiopronin	G04B
zucapsaicin	M02A
medical air	V03A
insulin lispro	A10A
pralatrexate	L01B
chlorhexidine	R02A
epinastine	R06A
technetium (99mTc) pentetic acid	V09C
fluindione	B01A
pegvisomant	H01A
nicardipine	C08C
tinzaparin	B01A
pirfenidone	L04A
letrozole	L02B
pentagastrin	V04C
practolol	C07A
ciprofloxacin	J01R
metronidazole	J01R
vapreotide	H01C
somatropin	H01A
abicipar pegol	S01L
ertugliflozin	A10B
zinc gluconate	A12C
tislelizumab	L01F
diazoxide	V03A
tubocurarine	M03A
cymarin	C01A
clindamycin	G01A
ustekinumab	L04A
mepartricin	D01A
dihydralazine	C02L
diuretics	C02L
volanesorsen	C10A
mifamurtide	L03A
hemin	B06A
etofibrate	C10A
malathion	P03A
electrolytes in combination with other drugs	B05X
benzocaine	R02A
dasabuvir	J05A
gadofosveset	V08C
protamine	V03A
eprosartan	C09D
diuretics	C09D
chloropyramine	R06A
captopril	C09B
diuretics	C09B
naproxen	M02A
avalglucosidase alfa	A16A
teniposide	L01C
filgotinib	L04A
sitagliptin	A10B
ponatinib	L01E
clopamide	C03B
potassium	C03B
dibenzepin	N06A
minocycline	J01A
technetium (99mTc) tin colloid	V09D
evogliptin	A10B
indoramin	C02C
magnesium citrate	B05C
acetylsalicylic acid excl. psycholeptics	N02B
neomycin	D06A
fluperolone	D07A
phenol	C05B
carbimazole	H03B
kallidinogenase	C04A
pirprofen	M01A
eteplirsen	M09A
ibandronic acid	M05B
siltuximab	L04A
trimethyldiphenylpropylamine	A03A
methyldopa (levorotatory)	C02L
diuretics	C02L
atenolol	C07D
other diuretics	C07D
trichloroethylene	N01A
methylprednisolone aceponate	D07A
antilymphocyte immunoglobulin (horse)	L04A
dexpanthenol	A11H
meclofenamic acid	M02A
acetyldigitoxin	C01A
fenpiverinium	A03A
penbutolol	C07A
metergoline	G02C
clopidogrel	B01A
tedisamil	C01B
ospemifene	G03X
chlorproethazine	N05A
cefiderocol	J01D
pyrrobutamine	R06A
emedastine	S01G
fosfomycin	J01X
distigmine	N07A
vaccinia immunoglobulin	J06B
lofexidine	N07B
veralipride	N05A
glymidine	A10B
ciclesonide	R03B
fusidic acid	D09A
tezepelumab	R03D
technetium (99mTc) pyrophosphate	V09B
clioquinol	G01A
medroxyprogesterone	L02A
pargyline	C02L
diuretics	C02L
arbekacin	J01G
etamiphylline	R03D
balsalazide	A07E
guselkumab	L04A
natamycin	A01A
atorvastatin	C10A
desoximetasone	D07X
clodantoin	G01A
hydroxycarbamide	L01X
domperidone	A03F
treosulfan	L01A
streptoduocin	J01G
emtricitabine	J05A
dimazole	D01A
hyaluronic acid	M09A
aluminium chlorohydrate	D09A
ethyl esters of iodised fatty acids	V08A
fluphenazine	N05A
albinterferon alfa-2b	L03A
thioproperazine	N05A
indanazoline	R01A
measles with mumps	J07B
rubella attenuated	J07B
bromelains	M09A
imipramine	N06A
terodiline	G04B
benfluorex	A10B
house dust mites	V01A
romidepsin	L01X
dobutamine	C01C
metformin	A10B
canagliflozin	A10B
Intermediate-acting sulfonamide combinations	J01E
protirelin	V04C
oxytetracycline	D06A
lynestrenol	G03D
drotrecogin alfa (activated)	B01A
povidone-iodine	D08A
terbutaline	R03A
methapyrilene	R06A
fluticasone	D07A
pitofenone	A03D
analgesics	A03D
irbesartan	C09D
diuretics	C09D
sulconazole	D01A
ampicillin	J01C
lovastatin	C10A
microparticles of galactose	V08D
gentamicin	S03A
chlorphenoxamine	D04A
dexibuprofen	M01A
viltolarsen	M09A
calcium pantothenate	D03A
quinisocaine	D04A
fluprednidene	D07A
sultopride	N05A
ergotamine with psycholeptics	N02C
bucladesine	C01C
melphalan	L01A
prednisolone	R01A
nifenazone	M02A
desflurane	N01A
vinorelbine	L01C
sulfobromophthalein	V04C
corticorelin	V04C
metixene	N04A
cytomegalovirus immunoglobulin	J06B
cetirizine	S01G
benzylthiouracil	H03B
aprindine	C01B
fluticasone	R01A
remifentanil	N01A
flumazenil	V03A
ketanserin	C02K
delapril	C09B
diuretics	C09B
phenglutarimide	N04A
clioquinol	S02A
mifepristone	G03X
papaverine	G04B
amsacrine	L01X
phenprobamate	M03B
deucravacitinib	L04A
nikethamide	R07A
udenafil	G04B
sobrerol	R05C
pimozide	N05A
ritodrine	G02C
tyrothricin	S01A
prenalterol	C01C
miltefosine	P01C
encainide	C01B
phenylephrine	R01B
lonidamine	L01X
oxprenolol	C07B
thiazides	C07B
emepronium	G04B
dasabuvir	J05A
ritonavir	J05A
iodine (124I) 2beta-carbomethoxy-3beta-(4 iodophenyl)-tropane	V09A
oxytocin	H01B
Insulins	A10A
analogs for injection-acting combined with fast-acting- combinations	A10A
pethidine	N02A
spesolimab	L04A
trometamol	B05X
clomipramine	N06A
phenobarbital	N03A
buprenorphine	N07B
fluticasone	R03B
isoetarine	R03C
imatinib	L01E
heptaminol	C01D
elcatonin	H05B
esflurbiprofen	M02A
sodium levofolinate	V03A
amcinonide	D07A
picodralazine	C02L
diuretics	C02L
clodronic acid	M05B
acepromazine	N05A
brompheniramine	R06A
fenoldopam	C01C
elapegademase	L03A
tamsulosin	G04C
ferric sodium citrate	B03A
prednisolone	D07A
cocaine	R02A
clobetasone	D07A
pyrimethamine	P01B
formoterol	R03A
aclidinium bromide	R03A
tetragalacturonic acid hydroxymethylester	B02B
xylometazoline	R01A
bithionol	P02B
moxonidine	C02A
ulipristal	G03A
propenidazole	G01A
technetium (99mTc) stannous agent labelled cells	V09G
xipamide	C03B
clenbuterol	R03A
collagen	G04B
ciclosporin	S01X
guaifenesin	R05C
isoniazid	J04A
pyridoxine	J04A
amino acids	B05B
carbon monoxide	V04C
arsenic trioxide	L01X
lynestrenol	G03F
estrogen	G03F
nicofuranose	C10A
ferristene	V08C
technetium (99mTc) succimer	V09C
galantamine	N06D
Calcium antacid compound combinations	A02A
nandrolone	A14A
doxylamine	R06A
mizolastine	R06A
carvedilol	C07A
lorazepam	N05B
cetylpyridinium	R02A
vorozole	L02B
methylthioninium chloride	V04C
alectinib	L01E
benznidazole	P01C
sulodexide	B01A
exenatide	A10B
ambrisentan	C02K
phenolsulfonphthalein	V04C
nystatin	D01A
anecortave	S01L
pyrrolnitrin	D01A
neomycin	A07A
cyclizine	R06A
rifamycin	S01A
guanethidine	C02C
lumiracoxib	M01A
ciprofloxacin	J01R
tinidazole	J01R
pentamycin	G01A
nifedipine	C08C
simvastatin	C10B
fenofibrate	C10B
codeine	N02A
acetylsalicylic acid	N02A
iomeprol	V08A
cetrimide	D08A
technetium (99mTc) tilmanocept	V09I
oxymetazoline	R01A
somatrem	H01A
epinephrine	C01C
ipragliflozin	A10B
zinc protein complex	A12C
epinephrine	R03A
bevacizumab	S01L
nifenazone	N02B
metoprolol	C07A
gestonorone	G03D
midazolam	N05C
tamoxifen	L02B
pasireotide	H01C
dimethylphthalate	P03B
clindamycin	J01F
modafinil	N06B
penciclovir	D06B
latanoprost	S01E
netarsudil	S01E
disulfiram	P03A
auranofin	M01C
ciclosporin	L04A
rifabutin	J04A
sulindac	M01A
bumetanide	C03C
potassium	C03C
gadopentetic acid	V08C
demegestone	G03D
doxorubicin	L01D
meloxicam	M01A
batroxobin	B02B
proxymetacaine	S01H
albendazole	P02C
ferric ammonium citrate	V08C
coagulation factor X	B02B
mitoxantrone	L01D
tolpropamine	D04A
pipamperone	N05A
acetyldigoxin	C01A
thenalidine	R06A
dihydroergocristine	C04A
ripretinib	L01E
chlorquinaldol	R02A
cromoglicic acid	S01G
technetium (99mTc) sulfur colloid	V09D
amiodarone	C01B
nitrofural	D09A
cetrimonium	R02A
sulfacetamide	S01A
dronedarone	C01B
levomethadone	N07B
levosulpiride	N05A
zinc bandage without supplements	D09A
fludiazepam	N05B
tiotropium bromide	R03B
guar gum	A10B
lasmiditan	N02C
tacalcitol	D05A
azelastine	S01G
Other anti-dementia drug combinations in ATC	N06D
terguride	G02C
pyrantel	P02C
perphenazine	N05A
fluorometholone	D07C
antibiotics	D07C
torasemide	C03C
finasteride	G04C
gemfibrozil	C10A
olmesartan medoxomil	C09D
diuretics	C09D
isoprenaline	C01C
metformin	A10B
linagliptin	A10B
clindamycin	D10A
Agni casti fructus	G02C
levonorgestrel	G03A
ethinylestradiol	G03A
tolnaftate	D01A
dermatan sulfate	B01A
oxedrine	C01C
secretin	V04C
molgramostim	L03A
immunocyanin	L03A
eperisone	M03B
methdilazine	R06A
oxycodone	N02A
acetylsalicylic acid	N02A
cladribine	L04A
dienestrol	G03C
olmutinib	L01E
perflubutane microspheres	V08D
inosine	G01A
mold fungus	V01A
yeast fungus allergenic extracts	V01A
silver nitrate	D08A
brodimoprim	J01E
panobinostat	L01X
sodium borate	S01A
mometasone	D07X
cerivastatin	C10A
deflazacort	H02A
eritrityl tetranitrate	C01D
diflucortolone	D07A
imipramine oxide	N06A
venlafaxine	N06A
lactic acid producing organisms	A07F
ethchlorvynol	N05C
plerixafor	L03A
ketoprofen	M01A
etidronic acid	M05B
betaxolol	S01E
pholcodine	R05D
cetiedil	C04A
risedronic acid	M05B
flunisolide	R03B
nusinersen	M09A
tuberculin	V04C
trimazosin	C02C
prasterone	G03E
estrogen	G03E
rolitetracycline	J01A
reserpine	C02A
orphenadrine (chloride)	N04A
ibuprofen	M02A
enalapril	C09B
diuretics	C09B
metformin	A10B
sulfonylureas	A10B
technetium (99mTc) disofenin	V09D
thiamazole	H03B
bacitracin	D06A
iodine/octylphenoxypolyglycolether	D08A
fampridine	N07X
fluticasone furoate	R01A
tribenoside	C05A
droxicam	M01A
norgestrel	G03F
estrogen	G03F
retinol	R01A
pipecuronium bromide	M03A
levocabastine	R01A
pyrethrum	P03A
magnesium sulfate	A12C
oxedrine	S01G
chromium (51Cr) edetate	V09C
mepyramine	D04A
potassium chloride	A12B
linzagolix	H01C
fesoterodine	G04B
tetracaine	D04A
natural phospholipids	R07A
miconazole	G01A
ceruletide	V04C
ceftriaxone	J01D
beta-lactamase inhibitor	J01D
bucillamine	M01C
sugammadex	V03A
bosentan	C02K
dihydrotachysterol	A11C
mercuric chloride	D08A
etacrynic acid	C03C
magnesium hydroxide	G04B
lusutrombopag	B02B
ethisterone	G03D
metformin	A10B
evogliptin	A10B
ioglycamic acid	V08A
lipegfilgrastim	L03A
opium	N02A
capsaicin	M02A
sparteine	C01B
betanidine	C02C
etoricoxib	M01A
cefminox	J01D
antimony pentasulfide	R05C
temazepam	N05C
ziprasidone	N05A
olopatadine	R01A
magnesium phosphate	B05X
fluocortolone	D07B
antiseptics	D07B
thiamine (vit B1)	A11D
alglucerase	A16A
oleandomycin	J01F
desmopressin	H01B
Insulins	A10A
analogs for injection-acting combinations	A10A
talazoparib	L01X
abiraterone	L02B
diethylcarbamazine	P02C
bromhexine	R05C
melitracen	N06A
aminophenazone with psycholeptics	N02B
sterculia	A06A
dihydrocodeine	N02A
mezlocillin	J01C
efinaconazole	D01A
eliglustat	A16A
medroxyprogesterone	G03F
estrogen	G03F
sodium zirconium cyclosilicate	V03A
coagulation factor VIII	B02B
hydrocortisone buteprate	D07A
"meningococcus A,C,Y,W-135 purified polysaccharides antigen conjugated"	J07A
disulfiram	N07B
vancomycin	A07A
linopirdine	N06B
cromoglicic acid	A07E
fendiline	C08E
fludarabine	L01B
tretoquinol	R03A
bromazine	R06A
domiodol	R05C
moexipril	C09B
diuretics	C09B
cobimetinib	L01E
indobufen	B01A
glycobiarsol	P01A
bendazac	S01B
selenium (75Se) norcholesterol	V09X
oxaceprol	D11A
azapropazone	M01A
medrogestone	G03D
flunitrazepam	N05C
atezolizumab	L01F
alsactide	V04C
flumetasone	D07B
antiseptics	D07B
fexinidazole	P01C
pegaptanib	S01L
captodiame	N05B
dibotermin alfa	M05B
topotecan	L01C
brigatinib	L01E
technetium (99mTc) mertiatide	V09C
nicotinic acid	C04A
celecoxib	M01A
natamycin	D01A
moxifloxacin	S01A
erythromycin	J01F
technetium (99mTc) votumumab	V09I
idoxuridine	D06B
propatylnitrate	C01D
sitaxentan	C02K
atorvastatin	C10B
ezetimibe	C10B
parathyroid gland extract	H05A
treprostinil	B01A
mecasermin	H01A
amezinium metilsulfate	C01C
cisatracurium	M03A
dexamfetamine	N06B
guanoxan	C02C
tromantadine	J05A
guaiacolsulfonate	R05C
nedocromil	R03B
medroxyprogesterone	G03D
brotizolam	N05C
atogepant	N02C
tolmetin	M01A
nomegestrol	G03F
estrogen	G03F
daunorubicin	L01D
fenozolone	N06B
pipradrol	N06B
octenidine	G01A
atorvastatin	C10B
ramipril	C10B
piroxicam	M01A
fluconazole	D01A
hydroxyprogesterone	G03F
estrogen	G03F
dihydroergotamine	N02C
bromperidol	N05A
phenylephrine	R01A
various allergen extracts	V01A
methacholine	V04C
ephedrine	R03C
norfloxacin	S01A
amantadine	N04B
dimetindene	D04A
losartan	C09C
limbal stem cells	S01X
naftazone	C05C
fedratinib	L01E
butanilicaine	N01B
olodaterol	R03A
tiotropium bromide	R03A
quinidine	C01B
pirarubicin	L01D
amivantamab	L01F
difemerine	A03A
reproterol	R03A
phenyl salicylate	G04B
indapamide	C03B
olaparib	L01X
aluminium nicotinate	C10A
apixaban	B01A
nalfurafine	V03A
chlorothiazide	C03A
ambazone	R02A
patent blue	V04C
tetryzoline	S01G
fumagillin	P01A
oxygen	V03A
megestrol	G03F
estrogen	G03F
ipidacrine	N06D
paromomycin	A07A
adinazolam	N05B
dornase alfa (desoxyribonuclease)	R05C
deferiprone	V03A
tolciclate	D01A
tuaminoheptane	R01A
betamethasone	D07A
dexamethasone	D07C
antibiotics	D07C
tazarotene	D05A
tolperisone	M03B
citalopram	N06A
phenytoin	N03A
erythromycin	D10A
Cimicifugae rhizoma	G02C
norepinephrine	C01C
avocado	M01A
soyabean oil	M01A
hexamidine	S01A
policresulen	G01A
rosuvastatin	C10A
acetohexamide	A10B
naftidrofuryl	C04A
hydrocodone	R05D
Long-acting sulfonamide combinations	J01E
metaraminol	C01C
pancreozymin (cholecystokinin)	V04C
tasonermin	L03A
telmisartan	C09D
amlodipine	C09D
alprostadil	C01E
dutasteride	G04C
gonadorelin	H01C
fenofibrate	C10A
risedronic acid	M05B
calcium	M05B
armodafinil	N06B
dacomitinib	L01E
cholera attenuated	J07A
staphylococcus immunoglobulin	J06B
anileridine	N01A
theobromine	R03D
oxycodone	N02A
ibuprofen	N02A
tolbutamide	V04C
mitobronitol	L01A
aminophylline	R03D
adrenergics	R03D
chlorquinaldol	D08A
melarsoprol	P01C
thiotepa	L01A
meptazinol	N02A
norgestimate	G03F
estrogen	G03F
milnacipran	N06A
cloprednol	H02A
hydroxocobalamin	B03B
combinations of imidazole derivatives	G01A
bekanamycin	J01G
fenoprofen	M01A
chondrocytes	M09A
tafamidis	N07X
bezitramide	N02A
trabectedin	L01C
doxazosin	C02C
Valerianae radix	N05C
benzatropine	N04A
fentiazac	M02A
potassium perchlorate	H03B
technetium (99mTc) etifenin	V09D
bromocriptine	G02C
osilodrostat	H02C
clozapine	N05A
raloxifene	G03X
cytarabine	L01X
daunorubicin	L01X
bretylium tosilate	C01B
formoterol	R03A
fluticasone	R03A
sorbitol	B05C
levocabastine	S01G
chlorhexidine	D08A
combinations of rauwolfia alkaloids	C02A
hexylresorcinol	R02A
insulins	A10A
analogs for injection combinations-acting	A10A
zinc bandage with supplements	D09A
imidazole salicylate	N02B
ethyl loflazepate	N05B
cyclopentolate	S01F
insulin (human)	A10A
paricalcitol	H05B
sulfafenazol	S01A
valsartan	C09D
diuretics	C09D
delapril	C09B
manidipine	C09B
itacitinib	L04A
alprostadil	G04B
brodalumab	L04A
brexpiprazole	N05A
simvastatin	C10A
perflutren albumin microspheres	V08D
gefitinib	L01E
dibunate	R05D
moclobemide	N06A
selenium sulfide	D01A
combinations of penicillins	J01C
lurasidone	N05A
anthrax immunoglobulin	J06B
magnesium chloride	B05X
diflucortolone	D07B
antiseptics	D07B
hydrocortisone	D07X
ajmaline	C01B
deanol	N06B
enasidenib	L01X
acarbose	A10B
chlorprothixene	N05A
sertaconazole	D01A
butriptyline	N06A
citric acid	A09A
framycetin	R01A
fabomotizole	N05B
carbocisteine	R05C
nesiritide	C01D
hydromorphone	N02A
lypressin	H01B
veliparib	L01X
relugolix	L02B
calcium carbimide	N07B
flunoxaprofen	M01A
meningococcus B vaccine	J07A
casimersen	M09A
sodium benzoate	A16A
nadolol	C07B
thiazides	C07B
tirbanibulin	D06B
acetylcysteine	S01X
phenylbutazone	M01B
corticosteroids	M01B
cabergoline	N04B
fenoterol	R03A
medrogestone	G03F
estrogen	G03F
blinatumomab	L01F
tetracycline	D06A
insulin degludec	A10A
liraglutide	A10A
diphenhydramine	R06A
cisplatin	L01X
sirolimus	L04A
idrocilamide	M02A
trafermin	D03A
levomilnacipran	N06A
urate oxidase	M04A
enfuvirtide	J05A
sodium apolate	C05B
Antiinfective irrigating solution combinations	B05C
glucosamine	M01A
metahexamide	A10B
salicylic acid	S01B
guanoxabenz	C02C
sodium stibogluconate	P01C
binimetinib	L01E
benzydamine	R02A
benzbromarone	M04A
vinyl ether	N01A
famotidine	A02B
lobeglitazone	A10B
colchicine	M04A
technetium (99mTc) etarfolatide	V09I
barbexaclone	N03A
ipratropium bromide	R01A
buphenine	G02C
ciclesonide	R01A
heparin	B01A
local opthalmologic anesthetic combinations	S01H
mebhydrolin	R06A
mazindol	A08A
chloroxylenol	D08A
pancuronium	M03A
norgestimate	G03A
ethinylestradiol	G03A
thenalidine	D04A
flutamide	L02B
fluorometholone	S01C
antiinfectives	S01C
azelastine	R01A
sodium fluoride	A12C
lornoxicam	M01A
magnesium gluconate	A12C
levodropropizine	R05D
tavaborole	D01A
emepronium	A03C
psycholeptics	A03C
lidocaine	D04A
ferumoxsil	V08C
bleomycin	L01D
tienilic acid	C03C
ofloxacin	S02A
metformin	A10B
ertugliflozin	A10B
cefpodoxime	J01D
beta-lactamase inhibitor	J01D
bioallethrin	P03A
merbromin	D08A
flower allergenic extracts	V01A
penicillins with other antibacterials	J01R
ephedrine	R01A
dequalinium	D08A
frovatriptan	N02C
cation exchange resins	V04C
haemophilus influenzae B with toxoids	J07A
cyanocobalamin	B03B
brivudine	J05A
chlortalidone	C03E
potassium-sparing agents	C03E
silver sulfadiazine	D06B
clotiapine	N05A
ezetimibe	C10A
nefazodone	N06A
stramoni preparations	R03B
letermovir	J05A
nebivolol	C07A
niridazole	P02B
dihydrocodeine	N02A
other non-opioid analgesics	N02A
candesartan	C09D
hydrochlorothiazide	C09D
fexapotide	G04C
trandolapril	C09A
denosumab	M05B
nintedanib	L01E
oxyphenbutazone	M01A
cemiplimab	L01F
rhenium (186Re) sulfide colloid	V10A
piretanide	C03C
trichlormethiazide	C03A
potassium	C03A
pilocarpine	N07A
aliskiren	C09X
hydrochlorothiazide	C09X
ramipril	C09B
bisoprolol	C09B
mepindolol	C07A
azathioprine	L04A
arterolane	P01B
piperaquine	P01B
noscapine	R05D
salmeterol	R03A
fluticasone	R03A
benzocaine	N01B
valsartan	C09D
lercanidipine	C09D
clonidine	C02L
diuretics	C02L
fludroxycortide	D07C
antibiotics	D07C
glucose	B05C
difenpiramide	M01A
angiotensinamide	C01C
bupivacaine	N01B
pentoxyverine	R05D
lentinan	L03A
ubidecarenone	C01E
aldesleukin	L03A
rabies serum	J06A
dimethyltubocurarine	M03A
ticlatone	D01A
colesevelam	C10A
gefarnate with psycholeptics	A02B
gentamicin	J01G
nilvadipine	C08C
vismodegib	L01X
bupropion	A08A
naltrexone	A08A
sitimagene ceradenovec	L01X
emtricitabine disoproxil	J05A
rilpivirine	J05A
phentolamine	C04A
potassium permanganate	D08A
pridinol	M03B
toremifene	L02B
acetic acid	G01A
cineole	R05C
ibudilast	R03D
fluoxetine	N06A
chlorcyclizine	R06A
benzalkonium	R02A
glucagon	H04A
mefenamic acid	M01A
miocamycin	J01F
clobetasone	S01B
moxisylyte	C04A
chlordiazepoxide	N05B
etidronic acid	M05B
calcium	M05B
paclitaxel	L01C
ataluren	M09A
tolvaptan	C03X
lifitegrast	S01X
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)"	J07B
meprednisone	H02A
thioridazine	N05A
metacycline	J01A
risperidone	N05A
prochlorperazine	N05A
tapentadol	N02A
fenbufen	M01A
norfloxacin	J01M
morpholine salicylate	N02B
aclidinium bromide	R03B
bamifylline	R03D
fusidic acid	D06A
plazomicin	J01G
xaliproden	N07X
diclofenac	M02A
diflucortolone	D07X
influenza like particles	J07B
emtricitabine alafenamide	J05A
rilpivirine	J05A
gentamicin	D06A
technetium (99mTc) nanocolloid	V09D
metipranolol	S01E
timepidium bromide	A03A
dydrogesterone	G03F
estrogen	G03F
sodium fluoride	A01A
acriflavinium chloride	R02A
propamidine	D08A
ketoconazole	H02C
diiodotyrosine	H03B
olanzapine	N05A
pertuzumab	L01X
trastuzumab	L01X
bunaftine	C01B
chlormezanone	M03B
cicletanine	C03B
diethylstilbestrol	G03C
imlifidase	L04A
panitumumab	L01F
methyldopa (racemic)	C02A
dithranol	D05A
halazepam	N05B
mepolizumab	R03D
proguanil	P01B
atovaquone	P01B
cinepazide	C04A
etizolam	N05B
eosin	D08A
salmeterol	R03A
budesonide	R03A
glycine	B05C
spaglumic acid	S01G
methoxsalen	D05B
monoethanolamine oleate	C05B
pinacidil	C02L
diuretics	C02L
paramethadione	N03A
samarium (153Sm) hydroxyapatite colloid	V10A
barnidipine	C08C
toloxatone	N06A
acetylcholine	S01E
alfaxalone	N01A
idelalisib	L01E
ciclopirox	D01A
fostemsavir	J05A
bremelanotide	G02C
dopamine	C01C
proscillaridin	C01A
digitalis leaves	C01A
tramadol	N02A
dexketoprofen	N02A
typhoid cell	J07A
erlotinib	L01E
bedaquiline	J04A
thiocolchicoside	M03B
valaciclovir	J05A
technetium (99mTc) human immunoglobulin	V09H
amino(diphenylhydantoin) valeric acid	N03A
asunaprevir	J05A
metolazone	C03E
potassium-sparing agents	C03E
nafarelin	H01C
chlorhexidine	S01A
benproperine	R05D
bempedoic acid	C10A
silver	D08A
corticotropin	H01A
solriamfetol	N06B
fenoxazoline	R01A
fluclorolone	D07A
flumetasone	D07C
antibiotics	D07C
simfibrate	C10A
alendronic acid	M05B
colecalciferol	M05B
choline theophyllinate	R03D
diphtheria toxoid	J07A
aloxiprin	N02B
bupropion	N06A
etamiphylline	R03D
adrenergics	R03D
oxyquinoline	D08A
glucose	V04C
carbromal	N05C
melanoma vaccine	L03A
lamivudine	J05A
brincidofovir	J05A
fosamprenavir	J05A
trypsin	D03B
bentiromide	V04C
4-aminosalicylic acid	J04A
codeine	R05D
tiazofurine	L01X
trimetaphan	C02B
pentamidine isethionate	P01C
diclofenac	S01B
iodoheparinate	S01X
alminoprofen	M01A
pegloticase	M04A
adrenalone	A01A
cinchophen	M04A
rescinnamine	C02L
diuretics with other drugs	C02L
flosequinan	C01D
glisoxepide	A10B
clioquinol	D09A
sulbutiamine	A11D
sodium acetate	B05X
tolperisone	M02A
nimesulide	M02A
aluminium preparations	C05A
ofatumumab	L04A
pentifylline	C04A
etilamfetamine	A08A
opicapone	N04B
chloramphenicol	S01A
tiabendazole	D01A
panipenem	J01D
betamipron	J01D
phenformin	A10B
indium (111In) capromab pendetide	V09I
hexobarbital	N05C
deptropine	R06A
epinephrine	S01E
botulinum toxin	M03A
peginterferon alfa-2a	L03A
tribenoside	C05C
morphine	A07D
sodium picosulfate	A06A
sodium monofluorophosphate	A12C
fenoterol	G02C
ketobemidone	N02A
antispasmodics	N02A
tranylcypromine	N06A
framycetin	S01A
muzolimine	C03C
sulfonamides with other antibacterials (excl. trimethoprim)	J01R
sitagliptin	A10B
ertugliflozin	A10B
iloprost	B01A
plicamycin	L01D
gepefrine	C01C
lenograstim	L03A
antazoline	R01A
Local hemostatic combinations	B02B
methylprednisolone	S01C
antiinfectives	S01C
bromocriptine	N04B
tiotixene	N05A
diastase	A09A
prednisolone	D07X
fibrinogen (125I)	V09G
bambuterol	R03C
trypsin	M09A
atorvastatin	C10B
acetylsalicylic acid	C10B
cytarabine	L01B
nortriptyline	N06A
terlipressin	H01B
nicomorphine	N02A
dosulepin	N06A
desvenlafaxine	N06A
cediranib	L01E
fipexide	N06B
methoxyphenamine	R03C
iobenguane (131I)	V10X
organic nitrates in combination with psycholeptics	C01D
hydralazine	C02D
lynestrenol	G03F
estrogen	G03F
sodium chloride	S01X
dupilumab	D11A
indoprofen	M01A
"meningococcus A,C,Y,W-135 purified polysaccharides antigen"	J07A
polymyxin B	A07A
elotuzumab	L01F
dydrogesterone	G03F
estrogen	G03F
lafutidine	A02B
dipyrocetyl	M01B
corticosteroids	M01B
mirabegron	G04B
pramocaine	D04A
chlorphenamine	R06A
rubidium (82Rb) chloride	V09G
rimiterol	R03A
lidocaine	C01B
pyridoxal phosphate	A11H
hyaluronic acid	R01A
hydroxyzine	N05B
phentolamine	V03A
nitrofural	S02A
neomycin	R02A
potassium canrenoate	C03D
apomorphine	N04B
alfacalcidol	A11C
calcium (different salts in combination)	A12A
thalidomide	L04A
reslizumab	R03D
cyclopentamine	R01A
methyl aminolevulinate	L01X
phytomenadione	B02B
levothyroxine sodium	H03A
tilorone	J05A
methyldopa (levorotatory)	C02A
levodopa	N04B
decarboxylase inhibitor	N04B
epinephrine	R03A
other drugs for obstructive airway diseases	R03A
aldosterone	H02A
haemophilus influenzae B	J07C
hepatitis B	J07C
sulfacetamide	D10A
formoterol	R03A
budesonide	R03A
diphtheria antitoxin	J06A
choline alfoscerate	N07A
salsalate	N02B
bromazepam	N05B
tribromometacresol	D01A
crataegus glycosides	C01E
trioxysalen	D05B
oxametacin	M01A
methylprednisolone	D10A
somatostatin	H01C
sonidegib	L01X
insulin (human)	A10A
manidipine	C08C
ketoconazole	G01A
prednisolone	S01B
hydrogen peroxide	D08A
beclometasone	D07C
antibiotics	D07C
clobetasol	D07A
eptotermin alfa	M05B
veratrum	C02K
hydrochlorothiazide	C03E
potassium-sparing agents	C03E
progesterone	G03F
estrogen	G03F
remimazolam	N05C
dibrompropamidine	D08A
emtricitabine disoproxil	J05A
cobicistat	J05A
tolazoline	C04A
vitamin A concentrates	V04C
sodium hypochlorite	D08A
hidrosmin	C05C
etravirine	J05A
viminol	N02B
docetaxel	L01C
